S,E,I,R,Beta
5879,19,38,4064,8.952471329710567e-06
5877,19,36,4068,9.453046716956876e-06
5875,18,37,4070,4.600345025876941e-06
5874,16,36,4074,9.457874626413952e-06
5872,17,36,4075,9.461095973357553e-06
5870,18,34,4078,0.0
5870,17,34,4079,5.010522096402445e-06
5869,17,33,4081,1.0326471393092623e-05
5867,16,34,4083,5.013084149630536e-06
5866,13,38,4083,1.3458467170312416e-05
5863,13,39,4085,4.373362722330828e-06
5862,12,38,4088,1.3467650703011367e-05
5859,15,36,4090,4.741044167567465e-06
5858,14,35,4093,4.877335024142809e-06
5857,15,34,4094,2.0086573130191123e-05
5853,19,32,4096,5.339142320177687e-06
5852,18,33,4097,2.589117421653307e-05
5847,20,34,4099,1.006046338494351e-05
5845,20,32,4103,
