expanding mean last value,expanding mean,biexponential decay,polynom (day),"polynom (day);
shifted forecast",regression (day),"regression (day);
shifted forecast","regression (day, previous I)","regression (day);
incremental learning",median beta,"median beta;
shifted forecast",lstm
400.67656686004676,273.0964855124641,210.22061743865436,166.43687369415147,123.1543070777639,140.90663768969173,54.47359155485586,71.73087138709806,131.67222884605007,83.82998441466351,133.29137450548163,19.843327981676502
361.73117087454204,267.0939016019825,245.4149630014614,167.69661583766546,360.98128672831467,138.544082037879,276.1815192054072,78.02892675095764,141.42513330692822,67.81811242171642,129.84497789613852,34.231444463914805
275.57275474430895,192.1716852643419,143.4770366028788,110.06667875270962,120.58816670108816,66.69981064941116,45.94939016615081,45.839498495971995,90.04042936823548,28.616246771475208,113.10664409256738,72.33397746139096
333.9890751518404,227.96554950928189,152.93048467352747,142.299631056967,49.69028177359823,108.71222450279494,24.642775424168644,46.64839098579697,107.90153993828542,40.542747253743116,103.98411599259516,22.840749137391438
332.7044726680733,250.54283251116223,76.73583426187841,157.31165459093918,103.36222381797492,127.07289352342137,149.67838607238573,80.50841656433518,133.6745124568956,56.85902039980703,35.88668329773443,34.30717082013893
420.36408668155025,283.4456525161717,170.09590887417372,176.46014829208107,174.41361224635492,151.2752832697036,27.032569593335765,79.86731258537485,142.48337805502135,96.42195139391227,95.80329633578634,47.80732775806205
364.55695177072437,250.12815175160563,187.64645380292347,124.95411578842125,235.77588734933184,93.71771285758147,38.00592811184717,39.679251943331685,93.6894777965705,29.013859242248444,146.08437494754133,27.77734817242554
447.47437857408056,317.3374014958637,228.85657173329724,185.09346438105885,99.2324096725668,157.97048796415297,425.0197100629833,87.06041310133668,153.3094442277425,91.5557714507037,310.4669435212097,69.60000197064727
403.11219079166057,287.740045402758,66.75406724082583,156.32061391908704,34.738146468373515,131.71213366437712,272.04675901713887,70.016402546409,127.54052736636521,68.10409473276655,140.74708095257577,42.89641810824446
443.3518274190358,321.9291854533673,141.54329470111497,167.56679250206392,126.97901516822506,141.10521124278827,202.0125800071351,72.59718277867032,135.74627299404176,75.90647786838456,55.8613791425093,43.156178978943906
444.50340279072583,310.22489261624753,159.80348482510274,198.58264933298213,39.76862400302613,174.67325969991793,132.88954224406731,101.3400911466208,164.41169775862102,126.80105379868549,52.595300475546445,84.681143727417
370.6062101085432,251.06587711380382,167.55467281037525,171.4649287323165,28.458769705995905,149.01036053146822,110.34348662566488,76.63157076590497,137.46801193995094,97.84618799878412,37.41424540711501,57.93211706436865
341.26487874857224,242.2288137691367,745.1696049590298,139.9940574695727,41.82651223378137,109.43756499786656,383.8577087058033,54.435327137185446,114.49679905107905,40.86898419837963,264.95585600488783,16.577198357007973
353.0781778704703,244.9376322956613,220.13698716686355,140.14459381137175,55.5095805480044,114.32848960701565,52.10462732248577,71.81100376548379,116.01944213180151,49.88389362030096,115.13322282664602,39.27748065877403
439.43858694009793,283.3245872195952,151.764989577093,201.43277474131455,141.73960283039239,175.10736392897755,62.24162171253568,100.08929928097112,164.26935284056373,123.31462928842326,86.54914453524452,79.35469329345827
