rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
1835.627869302022,3.33888491877782e-07,0.003988981246948242,28,4534,8337.465528290437,86,86
999.532669162552,2.733205198632281e-07,0.003988981246948242,49,4541,6221.95157569448,96,96
1702.1341403069166,3.081258960854333e-07,0.003988981246948242,26,4520,8000.305925773409,88,88
1489.5742382421035,2.8334614880195376e-07,0.003989458084106445,31,4578,7533.016511939665,90,90
1678.2966528657578,3.1166259638350864e-07,0.003988981246948242,26,4620,8171.774472484698,82,87
1194.4991521521652,2.7125332811497334e-07,0.0039899349212646484,46,4666,6690.24126424863,88,93
1444.6348457759434,2.8657844801779743e-07,0.00399017333984375,38,4574,7409.053774719226,86,90
1846.809693423703,2.99371870548409e-07,0.003988504409790039,27,4260,8123.596511409075,91,87
1435.3320512508408,2.7675574119422704e-07,0.003986835479736328,34,4508,7276.886657094706,88,91
1846.466635342835,3.3451010455856804e-07,0.003988027572631836,27,4430,8309.637356926394,85,86
2100.405538667602,3.413574188629218e-07,0.003987789154052734,24,4485,8946.698519744945,87,84
1405.8013130626239,2.9069717273195054e-07,0.0039882659912109375,40,4748,7407.484902732707,85,90
2208.675148187221,3.569608740844568e-07,0.003989696502685547,22,4607,9314.890087455986,82,82
1765.2008920377355,3.142828938988422e-07,0.003988742828369141,30,4578,8230.09672957764,90,87
2225.4459435219096,3.5429722314738646e-07,0.003991127014160156,23,4355,9139.422582254052,79,83
2139.1500673222863,3.5160725434217696e-07,0.003988981246948242,23,4696,9341.222175187075,82,82
1450.044497915107,2.8969302875460643e-07,0.003989458084106445,44,4812,7438.6155437511015,84,90
1753.473521741333,3.2407337529667893e-07,0.003989219665527344,26,4547,8198.376124180786,87,87
1916.7448335090296,3.343201162642926e-07,0.003989458084106445,27,4605,8536.397698063649,74,85
1850.581994223429,3.214893481907748e-07,0.003989219665527344,29,4361,8271.734407656562,80,86
1771.4769285495483,3.218558503425214e-07,0.003990650177001953,31,4654,8302.212908737216,80,86
1756.3124905248894,3.2901049335116365e-07,0.003991127014160156,33,4716,8258.82480749303,85,86
927.1582941929518,5.073152010722569e-07,0.003988504409790039,20,12665,11067.61693981723,70,75
760.6483941831538,5.349838165712918e-07,0.003988742828369141,17,13052,11947.281524126749,67,72
870.3507558902132,4.381591134755254e-07,0.003989219665527344,21,12693,11170.889295409157,70,75
692.3893739720548,8.548206148979482e-07,0.003988504409790039,17,13213,12088.716473565979,68,72
564.7260864768302,4.4939785273949283e-07,0.004987001419067383,16,12957,12682.374288245494,66,69
550.0841773215849,5.714641570194279e-07,0.003988742828369141,18,12822,11866.435341003926,71,72
696.8371425597545,4.94321179356864e-07,0.003989219665527344,19,12857,11510.316736318415,68,74
1207.5230190085917,4.865418498656865e-07,0.00399017333984375,21,13139,10418.631822043417,74,78
683.667013304846,5.18285885553764e-07,0.0039904117584228516,18,12987,11890.325868951157,70,72
747.6784222206032,4.95411257577994e-07,0.003989696502685547,17,12821,11853.148359407514,66,72
696.9367185537327,5.162918506087154e-07,0.0049822330474853516,15,13075,12540.14353327315,64,70
523.6428925775841,5.171190756080249e-07,0.003989219665527344,16,12967,12022.74596208104,68,72
412.8288806214063,6.679429679240042e-07,0.0039899349212646484,16,12895,12642.910192963696,66,69
502.2834686599972,4.5605838183432197e-07,0.00399017333984375,17,12677,11906.987709621622,69,72
1029.9480306723972,6.464578141950807e-07,0.003988504409790039,18,13253,11289.282764565072,68,74
339.1642609019955,4.6595478441993353e-07,0.003988742828369141,15,12285,12899.663095386497,69,68
598.5747476032274,5.400036485657483e-07,0.003988981246948242,17,13034,12110.6224245148,67,71
403.82006810875254,4.3768462416142323e-07,0.0029916763305664062,23,13007,12706.084784002567,66,69
681.4943947958906,5.966159789359498e-07,0.003988981246948242,18,12722,11844.903233196768,67,72
530.6728751235815,5.262356512960703e-07,0.003989219665527344,16,12482,12209.596324130654,66,71
543.9583667339862,4.975889303433564e-07,0.003989219665527344,15,12815,12729.442275327245,62,69
616.3904686670156,4.919580663786493e-07,0.0039899349212646484,17,12882,11927.09964316153,69,72
591.6299370737484,5.080523327592872e-07,0.003988742828369141,15,12807,12726.753460297843,62,69
658.2686557668331,4.926712961104322e-07,0.003988981246948242,15,13543,12551.011391948756,65,70
408.34253067402256,4.7547148205994313e-07,0.003989219665527344,14,13102,12950.000955103833,66,68
590.3307312688665,5.117157134222463e-07,0.0039899349212646484,16,12864,12425.405377506857,67,70
