rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
362.66045013417437,2.4236349331241014e-05,0.002991199493408203,27,1227,2226.2742057291753,72,69
364.48322211659166,2.731521290195063e-05,0.016649484634399414,27,1335,2382.882104065803,67,69
304.8326874441951,2.304289756847654e-05,0.0005099773406982422,27,1205,2013.8511216668862,68,78
379.8386067876012,3.150547597305777e-05,0.0011584758758544922,27,1331,2445.5127281855603,74,69
418.64853986311596,2.6697781005521843e-05,0.0,27,1224,2445.53877949845,72,68
327.5121672791463,2.3807427717007405e-05,0.0,27,1244,2156.5420042982346,71,71
382.4413284508284,2.6323578156847188e-05,0.0,27,1257,2351.2441101346167,73,73
331.2580079523891,2.4931865991058223e-05,0.0,27,1375,2249.8738027011073,68,73
417.1955340445752,3.183793217978657e-05,0.016759634017944336,27,1329,2592.6876401686063,60,62
433.8390674181898,3.011216280582073e-05,0.0181272029876709,27,1284,2565.9011019357163,75,66
340.10521143869124,3.411676934499698e-05,0.0,27,1278,2245.9439706017074,63,66
303.447990772297,2.4788592847584444e-05,0.0,27,1325,2199.507274102119,66,66
374.50274398401103,2.6580836594138897e-05,0.0029909610748291016,27,1296,2394.0072336220196,67,67
311.4134106917311,3.5380190593470256e-05,0.0,27,1368,2256.7275794658526,60,67
308.1920538226503,2.3809238852106966e-05,0.0,27,1349,2210.0076837421043,75,73
310.35749270681026,2.1221375610390293e-05,0.016119718551635742,27,1239,2036.7869540210756,68,70
324.13657841159164,2.8208016338483126e-05,0.013253450393676758,27,1383,2293.0895421793402,65,62
323.5792549967636,2.5404354344645764e-05,0.0,27,1338,2242.307214007805,71,70
314.43790508190614,2.4106791342305736e-05,0.0,27,1339,2209.1822924832186,65,67
335.0638773701232,2.4178232774815368e-05,0.0,27,1256,2183.0975665491383,67,72
338.4163614702378,2.7239003518783997e-05,0.0,27,1372,2321.362770379024,65,67
246.97032272501104,3.0198943011017467e-05,0.0,27,1245,1844.2958653627168,68,78
277.5737494558759,2.2647648564979346e-05,0.0,27,1265,2003.4348086507525,68,72
340.95610505748476,2.698528398495842e-05,0.016501903533935547,27,1355,2345.4150416363027,63,67
307.80476391357934,2.5518039124965002e-05,0.0023627281188964844,27,1290,2164.302631470563,71,68
385.62591131182285,2.9693348225088056e-05,0.0030660629272460938,27,1283,2416.686618135486,70,70
368.1962788615975,2.3829316260268962e-05,0.0,27,1223,2237.090107568022,74,74
338.2893382956074,2.485134462928353e-05,0.0,27,1320,2244.001979063429,65,67
277.0947164151227,2.0974954206020275e-05,0.0,27,1325,2048.936490509028,65,73
356.2226094936665,2.5921788647416335e-05,0.0,27,1240,2227.083102179948,71,66
274.414234505115,2.343773833597509e-05,0.016536235809326172,27,1368,2094.097846014034,67,67
