rmse_I,rmse_Beta,time_predict,roll_var_seq,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
5790.281395208382,1.6970071420531016e-06,0.003989696502685547,6,12857,404.16,68,7
5831.802834310138,1.6334776669721285e-06,0.003988981246948242,6,13139,404.34,74,7
4649.298898608683,3.263996087453242e-06,0.003988981246948242,17,12987,27271.581078295905,70,62
3180.58564659186,2.01611910106706e-06,0.002991914749145508,10,12821,21146.283605558252,66,75
4082.2923966706617,2.898363352411654e-06,0.003989696502685547,25,13075,25390.257180279346,64,62
5812.162285008911,1.6100263459123314e-06,0.003989458084106445,6,12967,531.06,68,7
5774.162076318387,1.7517974448021999e-06,0.0049855709075927734,6,12895,512.02,66,7
3310.7347330196562,2.197161581267569e-06,0.003988742828369141,11,12677,22468.398101082737,69,71
5836.850784485813,1.6770604789763236e-06,0.003989219665527344,6,13253,491.92,68,7
4438.021252437704,2.8655618615164468e-06,0.003989219665527344,12,12285,25660.246860317722,69,61
3886.1773306700575,2.7459904429233683e-06,0.0029921531677246094,15,13034,24921.70245947107,67,65
3540.837159383472,2.4117564707633946e-06,0.002992868423461914,24,13007,23325.967774267032,66,67
5733.91040086898,1.6711720482848544e-06,0.0039904117584228516,6,12722,518.18,67,7
4411.625299226281,2.9191233045566167e-06,0.005692720413208008,18,12482,25946.274637739138,66,63
3297.2218991555765,1.3760652736641047e-06,0.003988981246948242,7,12815,16177.154373512307,62,87
4044.860705849289,2.827570242492377e-06,0.003988981246948242,22,12882,25060.423670425796,69,65
4339.382784987857,3.039723253896807e-06,0.003988981246948242,16,12807,26317.837143492336,62,61
3752.7400820218572,2.742426816828946e-06,0.003989219665527344,21,13543,24805.38789837055,65,64
4037.2432236445516,2.8377370815861173e-06,0.003989219665527344,14,13102,25448.38354381549,66,62
5814.360499146988,1.6590168211695244e-06,0.003988981246948242,6,12864,589.8,67,7
5629.05911302761,1.6844040680241875e-06,0.00399017333984375,6,12443,609.0,68,7
3416.200008470168,2.2086973819923803e-06,0.0029926300048828125,12,12576,22677.67147636237,67,68
5764.349466958336,1.6455148858271517e-06,0.00399017333984375,6,12819,625.14,65,7
3781.947810723218,2.5831034088690896e-06,0.003988981246948242,15,12821,24296.466712250778,66,65
4357.774109000409,3.031208916398764e-06,0.003989458084106445,16,12853,26123.161794881154,67,59
3843.367073557168,2.6780023222750445e-06,0.0039899349212646484,17,12858,24571.346391463572,66,63
3739.1371286265653,2.438259968487586e-06,0.003989696502685547,13,12417,23803.649823721975,63,64
3520.956707004456,2.4518775592954127e-06,0.003988981246948242,15,13047,23599.236947023724,66,65
3943.5164628092934,2.8472953774622313e-06,0.003988027572631836,15,13086,25229.68376600936,64,62
5792.165894781308,1.6038589512028943e-06,0.004987955093383789,6,12930,674.06,64,7
4178.328951021121,2.861562630712262e-06,0.003988742828369141,15,12944,25827.753699864497,63,60
5819.535758975969,1.69103970720597e-06,0.003988504409790039,6,13116,692.5,64,7
5777.122064254796,1.5119752368796798e-06,0.003988742828369141,6,12973,722.72,65,7
2771.4823861056066,1.7314406982580472e-06,0.003988981246948242,11,13002,19202.67819813751,65,76
3837.6979940105957,2.7372908579886774e-06,0.0029916763305664062,13,12991,24888.811401235984,63,60
4339.777854623277,3.082874794583849e-06,0.003988981246948242,17,12719,26224.598327359276,63,58
3081.296089779395,2.0926580832837107e-06,0.003988981246948242,10,12933,21928.36530942494,64,66
4056.2095941606585,2.840991851409134e-06,0.0029921531677246094,15,12978,25344.781153194985,64,60
5823.012941775073,1.6058640726700112e-06,0.0039899349212646484,6,13122,736.86,66,7
5772.386416201938,1.5761411516188708e-06,0.003988981246948242,6,13037,738.28,62,7
5826.996488089779,1.5664166498897152e-06,0.003989219665527344,6,13221,746.46,65,7
3559.0545489381575,2.675339675311521e-06,0.003988742828369141,17,13608,24412.814579618942,66,63
3613.6854883109804,2.4554587759392288e-06,0.003988981246948242,17,12958,23891.038262980757,65,64
3748.7539052736042,2.683307751347804e-06,0.003988981246948242,12,13012,24506.507664813682,62,60
3858.5112500172177,2.5418625529546636e-06,0.003989458084106445,15,12565,24238.509491004505,65,61
3756.2383125535653,2.493720131237134e-06,0.0039865970611572266,22,12641,23691.841240388774,65,62
5742.477293628169,1.6127381949238886e-06,0.003989219665527344,6,12885,846.86,61,7
3596.6312204675237,2.5063083179557035e-06,0.003989219665527344,12,12875,23819.990892521862,62,62
3076.0354877248938,2.1017637858048776e-06,0.003989458084106445,11,12991,21824.32920401236,61,65
3795.6540039674956,2.608928218859173e-06,0.003989458084106445,23,12727,24079.688124801512,61,60
3119.320071068146,2.0445000272727123e-06,0.003989458084106445,11,12661,21805.73914063543,63,66
5721.42665245782,1.5810892932251615e-06,0.003989696502685547,6,12751,815.08,65,7
3924.744239961184,2.7473247169191568e-06,0.003989219665527344,20,13061,24978.15249573362,64,60
5820.141737459314,1.5818633355115348e-06,0.003989219665527344,6,13073,803.22,64,7
7510.450110661349,2.3298972832405217e-06,0.003988981246948242,6,18772,532.14,56,7
7542.66586622366,2.6242189436183434e-06,0.003989696502685547,6,18734,480.92,58,7
7551.194826283007,2.347554020716278e-06,0.003989696502685547,6,18698,483.72,60,7
3813.6749520759586,4.801998423282215e-06,0.003989458084106445,15,18918,31436.129146478423,57,50
3178.504230451759,4.022520091342382e-06,0.003988742828369141,22,18837,29326.696589734805,55,53
3787.227548203802,4.789017741621693e-06,0.003989696502685547,11,18797,31443.46713734932,57,49
3379.594296822142,4.410300028420184e-06,0.003988981246948242,12,18955,30648.59338564932,55,51
7573.163203054343,2.8289930455086645e-06,0.003989458084106445,6,18814,483.06,58,7
7541.739423201996,4.140326009653387e-06,0.003989458084106445,6,18831,509.18,60,7
1846.9973673527152,2.650833897474461e-06,0.0029909610748291016,32,18830,24358.43847988562,59,58
7529.091691465058,2.3598289704553824e-06,0.003989696502685547,6,18823,601.36,57,7
3667.113888566413,4.60306569159714e-06,0.005700826644897461,19,18758,30694.2944658678,56,50
7470.694719223581,2.2086274021324967e-06,0.003991127014160156,6,18670,589.14,56,7
7489.18018619024,2.375513032591063e-06,0.003988981246948242,6,18565,566.0,60,7
7560.432630318972,2.1002419809729173e-06,0.003988742828369141,6,18952,622.9,56,7
2559.8304331157797,3.347589578235521e-06,0.003989219665527344,11,18638,27286.824960914084,58,57
3937.5636706347154,5.035486308408836e-06,0.002991914749145508,14,18922,31722.981318735525,55,48
7574.831399234641,2.2149258576389545e-06,0.003989458084106445,6,18889,596.44,58,7
7595.911873540226,2.0964059743969207e-06,0.0039899349212646484,6,18974,578.12,56,7
7568.05657451359,2.570292053294197e-06,0.002992391586303711,6,18917,597.62,55,7
3814.6310359503404,5.0877267853094615e-06,0.003988504409790039,14,19189,31719.26970386169,54,46
3214.364014515457,4.140521549436155e-06,0.003988742828369141,13,18766,29752.276910881228,53,51
7608.699146499112,2.0560698850554625e-06,0.003989219665527344,6,19064,697.88,53,7
2553.650113355288,3.4117743005264746e-06,0.004987239837646484,9,18732,27509.03587881814,54,54
7521.597063721106,3.443730376692528e-06,0.003989219665527344,6,18873,741.14,54,7
2270.0806671900327,3.1433833915938767e-06,0.0039882659912109375,10,19110,26637.32863744691,57,57
7624.734783908038,2.342187763165913e-06,0.003989458084106445,6,19058,707.64,54,7
3458.916781344913,4.488111967253814e-06,0.0039899349212646484,18,19080,30477.4932085803,55,49
1573.964524230589,2.484403734883226e-06,0.0039882659912109375,33,18725,23099.77162082491,54,57
7464.731055812707,6.234341574414702e-06,0.003989696502685547,6,18477,679.84,55,7
7656.170979324656,2.664686188019834e-06,0.003989458084106445,6,19158,835.8,53,7
7519.659494194548,2.4362592631337867e-06,0.003988742828369141,6,18637,778.88,56,7
3193.226117894015,4.0937784336437955e-06,0.003989219665527344,13,19069,29624.419709841874,55,51
7572.234728766748,2.0198130942591467e-06,0.004987239837646484,6,18824,782.74,53,7
2711.6967680522625,3.7489101713214163e-06,0.0039899349212646484,10,18990,28505.02470270169,52,51
3252.2263560709835,4.037395098952959e-06,0.003989458084106445,12,18527,29360.668314242557,53,50
7492.852473071785,1.9698749039408182e-06,0.00498652458190918,6,18781,765.78,54,7
3290.208435443494,4.261227497842476e-06,0.003989696502685547,15,18975,29924.032362976777,53,49
3347.0829661531707,4.3232448554614705e-06,0.003989458084106445,15,18810,29997.34881743608,53,49
7528.036420605907,5.95190437409758e-06,0.0039882659912109375,6,18727,775.6800000000001,56,7
7597.932342034179,5.55819906453869e-06,0.003988742828369141,6,19179,888.04,53,7
7626.214813533966,2.9850005382071307e-06,0.003988742828369141,6,19075,908.48,54,7
7556.5325733851105,2.977241974124502e-06,0.0029921531677246094,6,18760,936.88,53,7
3476.0363767911717,4.484376343591248e-06,0.0039899349212646484,12,18864,30468.762477921548,53,47
7556.913452074011,2.1257428394524506e-06,0.0039899349212646484,6,19059,912.06,54,7
7577.209512519684,3.0993494317534845e-06,0.003989458084106445,6,18973,919.54,54,7
7542.120735487859,2.114054827053244e-06,0.0059795379638671875,6,18857,864.84,54,7
1641.930297590624,2.474807608544213e-06,0.006981372833251953,31,18591,23113.44002318498,53,55
7547.174100685012,3.6253286888641546e-06,0.003987789154052734,6,18947,853.6800000000001,54,7
7589.141621525925,1.85843801291851e-06,0.003989219665527344,6,18920,891.58,54,7
7677.214997483801,2.0506980764676015e-06,0.003989219665527344,6,19224,953.64,52,7
7553.362495194482,3.0760517355318444e-06,0.003989219665527344,6,18722,974.56,52,7
3379.898430775671,4.343940091471289e-06,0.003989458084106445,14,18840,30084.84770608839,52,48
3081.8630628225424,4.124422934580983e-06,0.003988742828369141,14,19007,29410.551355224292,52,49
7539.094015070501,7.3506029574867805e-06,0.003989219665527344,6,18857,1008.76,54,7
3105.370327331773,4.193614147070521e-06,0.002991914749145508,13,19137,29694.62160511819,50,48
2611.0424704538623,3.4885316378963654e-06,0.003988742828369141,11,18661,27578.741461968955,51,51
7569.0528804466385,2.481794940907976e-06,0.003988027572631836,6,18984,985.88,53,7
2830.3292611196266,3.7322318204411575e-06,0.003991603851318359,12,18928,28381.32361818855,52,50
7589.429319318349,2.20494572890028e-06,0.003987550735473633,6,18958,1008.26,52,7
8660.68383733407,2.9495421231388926e-06,0.003989219665527344,6,23156,548.56,51,7
8584.764948575126,5.3720869964644e-06,0.003989219665527344,6,22887,620.86,51,7
2114.322708349083,3.4712899186412977e-06,0.0039904117584228516,7,23027,27549.79877803784,51,56
1742.352489422012,4.124331761418182e-06,0.003989219665527344,27,23041,29282.923351621892,50,49
3126.108369310059,5.823453064104622e-06,0.003989458084106445,13,23003,33232.74710173125,51,45
3119.8996167705686,5.916241221317472e-06,0.003988981246948242,14,23073,33280.409524653565,52,45
3034.273302548035,5.673498007010572e-06,0.003989458084106445,11,22825,32951.8663516038,50,45
8597.611474585157,9.566492265512039e-06,0.003989219665527344,6,22838,638.8,48,7
8643.524548476502,3.998830136036236e-06,0.002991914749145508,6,23031,594.22,49,7
1705.3560154262098,3.910269949565418e-06,0.003989219665527344,28,23052,28851.70796232355,51,50
687.4446041029212,2.5802836144374817e-06,0.006979703903198242,37,22942,24223.594182982935,47,50
3054.477482022925,5.808077232671374e-06,0.00399017333984375,10,22826,33201.18936729873,48,43
3446.901762423175,6.4958269231306346e-06,0.00399017333984375,13,22993,34116.00540118748,50,42
8580.04658110794,2.626022059751054e-06,0.003989219665527344,6,22882,778.16,48,7
2643.97861593153,5.348457077027736e-06,0.003988981246948242,12,22940,32425.02947481382,49,45
2227.63870947483,4.6022718641474654e-06,0.002992868423461914,22,22776,30632.5015538712,48,46
8658.53917863662,3.1198152260840614e-06,0.003989219665527344,6,23159,707.42,49,7
8553.362212439155,9.03659235636148e-06,0.002991914749145508,6,22745,733.36,47,7
8575.288275441002,2.3911473022189272e-06,0.003988981246948242,6,22920,711.12,49,7
2644.241635782178,5.157255449389021e-06,0.003989458084106445,11,23120,32096.112683079355,50,46
3023.099447532668,5.799566372576187e-06,0.0029938220977783203,12,22801,33109.967207291644,48,43
8554.733496111987,3.820725212576629e-06,0.003988742828369141,6,22774,774.26,49,7
2628.182434457338,5.15724012266128e-06,0.003988981246948242,13,22586,31953.690988195674,48,46
2536.2238135706193,5.3151457761990606e-06,0.003988504409790039,9,23246,32386.50262486539,48,43
2467.8653598781393,5.088817950312142e-06,0.002992391586303711,10,23093,31881.60920553409,49,45
1990.2683148663389,4.205818364959095e-06,0.003989696502685547,8,22578,29834.915171887493,50,48
8643.288956357543,3.8596252043458146e-06,0.003988742828369141,6,23192,815.76,48,7
3257.9322524698828,6.294431171114104e-06,0.003989458084106445,11,23306,33960.48661952962,47,40
8624.805240153044,2.311579809653944e-06,0.003989696502685547,6,22914,804.7,49,7
8639.444411031562,4.9792489211037865e-06,0.0039882659912109375,6,23205,849.64,48,7
8649.96416459195,2.685940556347865e-06,0.003988981246948242,6,23305,877.76,47,7
2141.7681021223925,4.715837489891369e-06,0.003989696502685547,10,23068,30910.414016473733,48,46
1878.5021332734182,4.189540659110509e-06,0.003989458084106445,8,22759,29500.899854051946,47,48
2452.161219892805,5.0849086040115075e-06,0.0029916763305664062,10,22999,31779.288973737766,47,44
8544.122577694432,2.7539737344275645e-06,0.003992795944213867,6,22698,904.5600000000001,48,7
8635.028010485985,2.530179789779074e-06,0.003989219665527344,6,23192,938.6,48,7
8715.416626637969,5.138169581155913e-06,0.003989458084106445,6,23257,1049.7,47,7
8564.128102028786,2.143570435622309e-06,0.0039882659912109375,6,22797,935.5,48,7
2825.1615027957955,5.576369289817308e-06,0.003989696502685547,12,22891,32716.34883385516,48,43
3137.9367605341517,5.993277901755738e-06,0.0039904117584228516,13,22909,33512.548329945945,46,41
2904.5187572488485,5.753505980429666e-06,0.003988742828369141,11,23067,33009.44317218994,46,41
8646.935980729302,3.120746262235807e-06,0.003988981246948242,6,23059,1048.56,45,7
2901.7350508117947,5.820233256518152e-06,0.003989696502685547,14,23244,33007.52970631098,47,42
2697.174638859944,5.480568229320109e-06,0.003989458084106445,10,23396,32594.09739963948,46,41
3022.0185211333232,5.554086798760454e-06,0.003988981246948242,12,22634,32692.5366374084,48,42
2181.7561821755075,4.668332002969693e-06,0.002991914749145508,8,22796,30936.141124016896,46,44
2595.6205040801688,5.1441406548333405e-06,0.003989696502685547,10,22966,32043.142424898775,46,42
8605.576149529266,2.6385592342466884e-06,0.003989219665527344,6,22920,1039.1,45,7
2499.301043590375,5.04672426266279e-06,0.003989696502685547,11,23231,31866.233737073628,47,43
8576.450849552239,2.1490439419550272e-06,0.003989458084106445,6,22759,1039.68,48,7
8582.521052322896,2.188779705491032e-06,0.006981849670410156,6,23011,1105.94,45,7
877.1160303995647,2.887588229662035e-06,0.003989219665527344,31,23084,25512.19714016396,45,47
