rmse_I,rmse_Beta,time_predict,20,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
331.1636308341561,2.3345587759400718e-05,0.0,20,1289,2182.431056373422,71,71
296.6566370976316,2.203303810358587e-05,0.016579151153564453,20,1264,2116.8919389431835,66,72
437.06443921020985,3.25233869871661e-05,0.009385108947753906,20,1325,2602.5054656184357,74,62
347.2691150822417,4.3771066206039096e-05,0.015555858612060547,20,1396,2384.6769804190712,69,65
308.2754376622105,2.602019330328115e-05,0.0,20,1329,2176.5156382982877,59,64
300.1464257417217,2.321064958518915e-05,0.023105382919311523,20,1296,2159.9815163380913,70,72
331.4525637667885,2.6979418341298855e-05,0.016435861587524414,20,1319,2300.5056322119613,66,62
305.0691392602599,2.3527845879805203e-05,0.0,20,1310,2157.3664673258527,69,67
352.4145338809792,3.569673869628246e-05,0.011101484298706055,20,1357,2424.3670549416647,62,60
449.08137705686016,3.2596720444315084e-05,0.0,20,1288,2627.4217194270036,66,60
365.28367521524564,3.0274508751149087e-05,0.012750864028930664,20,1350,2467.71348008974,55,60
321.53701959613466,2.231371871026864e-05,0.012576818466186523,20,1236,2105.9357319353335,63,64
388.9112238274343,2.6224941932931415e-05,0.008342504501342773,20,1229,2353.113985490656,62,62
345.79861240124427,2.783763955347195e-05,0.0,20,1293,2284.7869804543325,62,66
327.99951380535316,2.3750608130124614e-05,0.009123802185058594,20,1274,2219.21724906531,66,70
344.168637869146,2.37009073985241e-05,0.019480466842651367,20,1268,2225.84008208568,67,67
432.87907543291607,3.053890994460301e-05,0.0,20,1292,2553.659267761105,69,61
308.8225819701961,2.492642323424217e-05,0.01675128936767578,20,1342,2242.2885797242166,68,66
269.2040479667138,6.092115229814827e-05,0.0008084774017333984,20,1852,2741.786934815101,64,60
291.28222154687245,4.3478915104514036e-05,0.01562643051147461,20,1836,2790.096849404883,52,52
400.41633408531845,5.1942467737970106e-05,0.008029937744140625,20,1867,3002.8994091205054,68,58
358.79223274638537,4.742859493624959e-05,0.013083219528198242,20,1821,2942.603326882178,62,59
349.1106580034903,5.513000075390133e-05,0.0053517818450927734,20,1956,3120.4517869639444,56,50
266.0241604383612,3.656236862533409e-05,0.0,20,1952,2726.8402971308165,61,58
