last value,rolling mean last value,expanding mean last value,biexponential decay,median beta,regression (day),"median beta;
shifted forecast","regression (day);
shifted forecast","regression (day);
incremental learning","regression (day, previous I)",lstm
6.2569529421347335e-06,6.138079524675464e-06,1.0851079756835295e-05,8.715490218144639e-06,3.879400019658775e-06,4.3973070704037576e-06,5.399704083617685e-06,3.8113024958061997e-06,4.910572935424149e-06,3.9779257187151296e-06,4.455685916413349e-06
1.636356637997331e-05,1.3612994242775293e-05,9.642959808275252e-06,4.852101990460079e-06,3.940926744482473e-06,4.5301835574734844e-06,4.532131632807427e-06,6.506100464154611e-06,7.1594635715453096e-06,4.107271651129281e-06,3.57823542007771e-06
7.4865964370974835e-06,1.0599958888669033e-05,6.98311042887426e-06,6.0185603311746095e-06,3.091330319038973e-06,3.29168333332376e-06,3.4420930996841863e-06,3.1246323755253463e-06,5.129239843494565e-06,3.030183971499072e-06,3.619928019041966e-06
8.495393054395447e-06,9.505537560111875e-06,8.350036897241601e-06,6.728904400886971e-06,3.2267389523297366e-06,3.733689876056654e-06,3.722713913173599e-06,3.149821580166789e-06,5.089979259311974e-06,3.3535530769765587e-06,3.7294304493747156e-06
7.89933465453441e-06,1.2740975637848309e-05,8.40536005074879e-06,5.354497501633223e-06,3.719013756016571e-06,4.253644249986794e-06,3.613290570071353e-06,4.4768029009714706e-06,5.906174074752971e-06,4.010733552885595e-06,4.3888720939328746e-06
4.981676772500215e-06,6.964362034499967e-06,1.1902860414963589e-05,6.895272252058332e-06,3.93169726874635e-06,4.598166766513737e-06,3.82597667116707e-06,3.330348128160782e-06,5.524463256621961e-06,4.051537725279535e-06,3.914611143299603e-06
4.810540112463225e-06,1.1564791200695936e-05,1.055390810149195e-05,6.6557286722526355e-06,3.9478271226197686e-06,4.469345373070167e-06,4.215264965083805e-06,3.5856375303778534e-06,6.082572930950644e-06,4.051529880121257e-06,3.6306229796775883e-06
1.0254751248611542e-05,1.1284630870814868e-05,1.0931747482771555e-05,5.748310603594708e-06,3.499272146936259e-06,3.960107275257063e-06,6.355366900106465e-06,8.701968543849006e-06,5.6472463408077525e-06,3.4722903937130586e-06,4.108706923098157e-06
1.0455179159452301e-05,1.368567885971506e-05,1.2268239879579245e-05,6.0729860203716076e-06,4.870353287676117e-06,5.4599922140701785e-06,5.5842611134282505e-06,7.514027223370121e-06,6.716745780589888e-06,5.133786727383344e-06,4.934252596445055e-06
1.1176350478357964e-05,1.2224746087608937e-05,1.1617294232864741e-05,7.1242422421488695e-06,3.7683444096467317e-06,4.332561414851805e-06,3.663717196289267e-06,5.041185543155773e-06,5.09192179656102e-06,3.979948519371002e-06,4.5131185613606005e-06
8.374781879061433e-06,7.90756442447189e-06,1.205368266026536e-05,7.265947362813947e-06,3.7807674470206655e-06,4.35873923620682e-06,3.3434962620655375e-06,3.84045125934481e-06,5.093606154227429e-06,3.860378349272564e-06,4.233731997843115e-06
8.993693354469003e-06,9.635105193277398e-06,1.0986199942708468e-05,7.162487433378681e-06,4.344753788891976e-06,4.859556899505092e-06,3.91078627829469e-06,4.41546976360043e-06,5.772838416407158e-06,4.414661672271676e-06,4.648009332274845e-06
8.998027433353204e-06,1.523485083647374e-05,8.669366749706828e-06,2.7844600811914485e-05,3.738426360482558e-06,4.083459110240785e-06,6.07045958921151e-06,8.344401669595578e-06,5.636525688134413e-06,3.86165899604696e-06,4.965915493802046e-06
9.702342995300163e-06,8.921574577215601e-06,9.919260088061097e-06,7.642534774532499e-06,3.762739248147272e-06,4.383758021674325e-06,3.9677770036314614e-06,3.7483693808515886e-06,5.419359979172625e-06,4.042293848799749e-06,4.611381847515336e-06
4.577049056421952e-06,7.818296498795322e-06,1.0348956570435231e-05,8.112144552835225e-06,4.05117144972925e-06,4.3288948542176455e-06,4.7635251152190545e-06,3.7129374473934087e-06,4.871664872256569e-06,3.8543140793338915e-06,5.053207367746002e-06
8.550106748639885e-06,1.325286563161521e-05,9.751740154299743e-06,5.720070003192806e-06,3.5242566083573933e-06,3.994518791444144e-06,4.061098816538979e-06,5.958270031587803e-06,5.20523794653718e-06,3.713453080689434e-06,4.26001145250138e-06
1.6521435730167994e-05,9.1588017623839e-06,6.0423792280620405e-06,4.494585953837991e-06,2.9836728532740745e-06,3.4768155972548714e-06,2.9443120755223955e-06,3.97274599427563e-06,6.747920247359828e-06,3.336301826356147e-06,3.271076626444049e-06
1.3516093619271553e-05,6.606004192189749e-06,8.378572115239263e-06,6.803668420884569e-06,3.402486573709148e-06,3.981170465717877e-06,4.333339867953635e-06,3.237128246566986e-06,5.792312411261873e-06,3.6381066254577986e-06,3.7533356242233386e-06
5.348372746122739e-06,9.19127087300059e-06,9.110656346963191e-06,6.823967569184325e-06,3.597975466896463e-06,3.968316995076945e-06,3.911109771623266e-06,3.5977433748005434e-06,5.347936899617335e-06,3.667465669077287e-06,4.286531102056345e-06
1.4745901141670526e-05,1.05069005411808e-05,6.907750262597002e-06,4.851315075660029e-06,3.217791547511855e-06,3.6544368941128785e-06,3.072820890042485e-06,4.003677210801584e-06,5.836363450746682e-06,3.2494317180574104e-06,3.7298832131576994e-06
