S,E,I,R,Beta
60542,387,675,38396,7.341092868495333e-07
60512,388,655,38445,6.812099095353241e-07
60485,388,621,38506,8.253200744332214e-07
60454,379,624,38543,6.362116396191892e-07
60430,373,607,38590,6.542895083859468e-07
60406,355,596,38643,8.332875951031133e-07
60376,349,584,38691,4.2541624994781563e-07
60361,328,569,38742,8.152472430885886e-07
60333,324,553,38790,8.09251870922888e-07
60306,326,526,38842,7.565976258723097e-07
60282,318,513,38887,6.790695815437425e-07
60261,308,511,38920,6.494904374061548e-07
60241,287,507,38965,6.875735519529102e-07
60220,283,480,39017,4.843352153215986e-07
60206,266,480,39048,7.958785946029742e-07
60183,259,469,39089,6.731423670952139e-07
60164,253,461,39122,1.0095327291231877e-06
60136,255,454,39155,6.226708447636166e-07
60119,243,455,39183,8.042656789309261e-07
60097,242,439,39222,9.096910639871767e-07
60073,240,436,39251,6.108775607414649e-07
60057,231,432,39280,6.937853483634991e-07
60039,231,406,39324,6.974120352148771e-07
60022,226,388,39364,6.440937292065074e-07
60007,208,393,39392,5.936542348261235e-07
59993,206,374,39427,8.913695902668146e-07
59973,203,367,39457,7.723729992756505e-07
59956,205,361,39478,6.006251306359659e-07
59943,207,337,39513,8.415512046038198e-07
59926,200,327,39547,3.572193676992654e-07
59919,181,329,39571,8.623597276789725e-07
59902,179,323,39596,8.269440705680992e-07
59886,180,314,39620,6.381551699822018e-07
59874,169,305,39652,6.571176519872059e-07
59862,167,293,39678,5.131255813285232e-07
59853,167,275,39705,2.4301964054357416e-07
59849,149,279,39723,7.186544919409187e-07
59837,144,273,39746,8.570291171357402e-07
59823,143,274,39760,7.320866629549872e-07
59811,137,270,39782,5.573110854748012e-07
59802,134,254,39810,8.558426534598295e-07
59789,122,262,39827,5.107018204860119e-07
59781,119,253,39847,5.95057334765967e-07
59772,120,246,39862,8.161093455945602e-07
59760,120,241,39879,6.249062640603909e-07
59751,118,225,39906,3.719138126930465e-07
59746,103,226,39925,8.146581590680784e-07
59735,106,221,39938,6.817440679744286e-07
59726,106,214,39954,7.041501986798905e-07
59717,104,206,39973,
