rmse_I,rmse_Beta,time_predict,roll_var,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
256.7818884816852,1.6180377857727533e-05,0.005006313323974609,14,1268,1636.2288516575395,67,80
255.1148985459973,1.9919038918256615e-05,0.00521540641784668,17,1292,1973.8360187803573,69,71
252.51707212639923,1.778943793566586e-05,0.006014585494995117,14,1342,1638.2299716684818,68,81
250.07311003863506,5.934310117491724e-05,0.007998466491699219,14,1852,2682.070577685286,64,61
435.43854841178387,5.713825729267963e-05,0.004998922348022461,14,1836,3216.310681216829,52,46
241.41347343425218,3.9923583185706395e-05,0.0059986114501953125,14,1867,2122.5510788906963,68,76
286.1124824446186,3.264993826680387e-05,0.008998870849609375,14,1821,2043.2686297489338,62,77
257.76078233976665,4.623162136782781e-05,0.007984161376953125,14,1956,2842.9090335384158,56,55
206.70379310034215,3.266951932899755e-05,0.008999347686767578,14,1952,2579.0077785223557,61,61
206.62244901973935,2.8199900544404637e-05,0.007999181747436523,14,1839,2423.6830062646436,64,65
252.15332606795073,2.8396655667948568e-05,0.007999897003173828,14,1889,2203.0107841187687,60,70
271.95433243799204,7.896560558598743e-05,0.010996818542480469,14,1836,2753.9138011191085,56,56
357.68822388840806,4.6486308594882546e-05,0.008999824523925781,14,1932,3057.651132768927,54,48
318.0141108484969,4.0312689638322824e-05,0.008020877838134766,14,1858,2898.7593751919057,57,51
192.4043753777472,3.01332462316055e-05,0.008992671966552734,14,1901,2507.189685927163,61,62
310.1777513546453,3.93001568684747e-05,0.009123086929321289,22,1849,2840.3984195055864,56,52
300.7169690777112,3.769714721669089e-05,0.009016990661621094,23,1827,2774.913231649161,61,56
330.3319978120482,4.367364182544797e-05,0.01098322868347168,14,1827,2944.2052003097137,54,51
208.873891330327,2.8648111406680906e-05,0.004998683929443359,19,1830,2446.308241352299,64,64
288.2471672709391,3.842547869634008e-05,0.004996538162231445,28,1806,2747.781471594486,55,54
223.54316728918144,3.415519529303226e-05,0.003997087478637695,14,1803,2335.018060000766,62,65
278.8245240219157,3.954182868371459e-05,0.008001327514648438,14,1884,2810.1885323179404,53,56
247.95599485407058,2.9930234003426438e-05,0.003999948501586914,14,1882,2161.9027362121255,64,70
220.0600797810875,4.5366961748188615e-05,0.0050013065338134766,14,1842,2436.9721608375953,59,61
224.26482592307192,3.3546791579028095e-05,0.0059964656829833984,31,1896,2610.286263693991,56,56
277.5777358098062,3.7907804585124906e-05,0.004997968673706055,28,1890,2772.397949853666,56,54
218.75292114622602,3.383402030403699e-05,0.00499725341796875,14,1918,2362.1815069098698,59,65
207.1033917005351,2.702000098364904e-05,0.005999088287353516,14,1854,2240.543534435512,60,67
263.19275350720847,3.664824387230107e-05,0.005000114440917969,29,1876,2704.2230013136855,57,55
